mode,singular_value,pair1,pair2,weight
1,163.3204058119642,1,2,0.37966967344839764
1,163.3204058119642,1,5,0.0985826122542297
1,163.3204058119642,1,6,0.10906334037510769
1,163.3204058119642,1,7,0.30921295609541466
1,163.3204058119642,1,8,0.35803544815356625
1,163.3204058119642,2,5,-0.0568463224333219
1,163.3204058119642,2,6,0.32426600333129196
1,163.3204058119642,2,7,0.012235960888542362
1,163.3204058119642,2,8,0.22406332777886095
1,163.3204058119642,5,6,0.2288880571122436
1,163.3204058119642,5,7,-0.21086187245691423
1,163.3204058119642,5,8,0.34426247131147814
1,163.3204058119642,6,7,0.32226949682489975
1,163.3204058119642,6,8,0.3312035597387689
1,163.3204058119642,7,8,-0.15092705028841535
2,127.41405500837085,1,2,0.03517184019877827
2,127.41405500837085,1,5,0.4367111579041989
2,127.41405500837085,1,6,0.179257916213722
2,127.41405500837085,1,7,0.02028755478677627
2,127.41405500837085,1,8,-0.12530782619000605
2,127.41405500837085,2,5,-0.3002976288938701
2,127.41405500837085,2,6,-0.256934199928596
2,127.41405500837085,2,7,-0.2556856360841681
2,127.41405500837085,2,8,0.2739774080878671
2,127.41405500837085,5,6,0.15654738261478388
2,127.41405500837085,5,7,-0.3751166960051642
2,127.41405500837085,5,8,-0.1288459069382792
2,127.41405500837085,6,7,-0.25186353025351427
2,127.41405500837085,6,8,-0.23934933154346225
2,127.41405500837085,7,8,-0.4007772811840846
3,104.4276841013618,1,2,-0.05450996097105823
3,104.4276841013618,1,5,-0.18113400031805146
3,104.4276841013618,1,6,-0.47229617570045246
3,104.4276841013618,1,7,-0.3361710058451535
3,104.4276841013618,1,8,-0.058281324896930886
3,104.4276841013618,2,5,0.40689265034398414
3,104.4276841013618,2,6,0.019626897708964072
3,104.4276841013618,2,7,-0.4958037673693007
3,104.4276841013618,2,8,0.1910901341580548
3,104.4276841013618,5,6,0.32431282794652466
3,104.4276841013618,5,7,-0.06213066538551117
3,104.4276841013618,5,8,0.16588526896932074
3,104.4276841013618,6,7,0.006176858625359577
3,104.4276841013618,6,8,0.059463838933116256
3,104.4276841013618,7,8,-0.19061240577650745
4,51.51214303673688,1,2,0.04866675599479316
4,51.51214303673688,1,5,0.22011937628677647
4,51.51214303673688,1,6,0.43346575006398064
4,51.51214303673688,1,7,-0.020143222143108402
4,51.51214303673688,1,8,-0.0517364054906162
4,51.51214303673688,2,5,0.44615012913502816
4,51.51214303673688,2,6,-0.002226686725017385
4,51.51214303673688,2,7,-0.0021546370267973335
4,51.51214303673688,2,8,-0.5790958955328237
4,51.51214303673688,5,6,0.3061217847936998
4,51.51214303673688,5,7,0.11682589122634729
4,51.51214303673688,5,8,0.2228463036272335
4,51.51214303673688,6,7,-0.11746820997739951
4,51.51214303673688,6,8,-0.0727295617140912
4,51.51214303673688,7,8,-0.21836842821395555
5,39.027946307899235,1,2,-0.11467141665218555
5,39.027946307899235,1,5,0.18701912488269484
5,39.027946307899235,1,6,-0.29245210936606814
5,39.027946307899235,1,7,0.20856381726730994
5,39.027946307899235,1,8,0.18187100940645712
5,39.027946307899235,2,5,-0.05933604079285197
5,39.027946307899235,2,6,-0.14539711589297755
5,39.027946307899235,2,7,0.30780538489092923
5,39.027946307899235,2,8,0.07044314650695724
5,39.027946307899235,5,6,0.6964947846139322
5,39.027946307899235,5,7,0.2788609282493229
5,39.027946307899235,5,8,-0.22892883557689736
5,39.027946307899235,6,7,-0.13841229981326642
5,39.027946307899235,6,8,0.002925970343683984
5,39.027946307899235,7,8,0.17595262975882067
6,25.638054081474085,1,2,0.07947985662296098
6,25.638054081474085,1,5,0.15264006560612278
6,25.638054081474085,1,6,-0.06666568129582864
6,25.638054081474085,1,7,0.1825401361782538
6,25.638054081474085,1,8,-0.4479011398510383
6,25.638054081474085,2,5,-0.008567414170353536
6,25.638054081474085,2,6,0.17118987076372977
6,25.638054081474085,2,7,0.026712878306417092
6,25.638054081474085,2,8,0.2394939896152256
6,25.638054081474085,5,6,-0.07876996323166749
6,25.638054081474085,5,7,0.6201186852782554
6,25.638054081474085,5,8,0.036896471936117704
6,25.638054081474085,6,7,0.29461040286543205
6,25.638054081474085,6,8,-0.17592645422979455
6,25.638054081474085,7,8,-0.36700728682560924
7,15.100992683958744,1,2,-0.0752180603369914
7,15.100992683958744,1,5,-0.33158011026957634
7,15.100992683958744,1,6,-0.11726928654021121
7,15.100992683958744,1,7,-0.1550654176813777
7,15.100992683958744,1,8,0.2992149993300609
7,15.100992683958744,2,5,-0.4602947865084527
7,15.100992683958744,2,6,-0.16268246004418258
7,15.100992683958744,2,7,0.008329392598847416
7,15.100992683958744,2,8,-0.3889521438777231
7,15.100992683958744,5,6,0.07456363866969248
7,15.100992683958744,5,7,0.1187877464355809
7,15.100992683958744,5,8,-0.050374209210005315
7,15.100992683958744,6,7,0.21187587117430226
7,15.100992683958744,6,8,0.008562701137261944
7,15.100992683958744,7,8,-0.547911795744723
8,12.515889353969966,1,2,0.19496859883292564
8,12.515889353969966,1,5,0.09911786643592625
8,12.515889353969966,1,6,-0.34310323026963246
